clavy_id,"editorial","titulo","lugar de publicaci�n","fecha de publicaci�n"
60235,"La Novela Mundial","Los compradores de pieles de Puerto Montt a Punta Arenas",,
60236,"Hernando","Roja y gualda. Novela",,
60237,"R. Velasco","La raza. Comedia en tres actos y en prosa",,
60238,"Renacimiento","El alma y el cuerpo de Don Juan",,
60239,"Biblioteca Nueva","La viuda blanca y negra. Novela",,
60240,"Atlantida","Relato inmoral. Novela",,
60242,"Editorial Atlántida","Mis primeros ochenta años (memorias)",,
60243,"Garnier Hnos.","Poesías de Gregorio Gutiérrez González",,
60245,"Renacimiento","El amante invisible. Novela",,
60246,"R. Velasco, Imp.","Los del teatro. Semisemblanzas de actrices, autores, criíticos, actores",,
60248,"Renacimiento","El amor de los amores. Novela",,
60249,"Renacimiento","Casta de hidalgos. Novela escrita en las Asturias de Santillana",,
60250,"Pueyo","La procesión de los días. Novela",,
60251,"Imp. de Tirso de Frutos","De tierra hidalga",,
60253,"Tip. de El Correo de Levante,","Estudios y pasatiempos (colección de ensayos filosóficos, históricos y literarios)",,
60254,"Renacimiento","El ombligo del mundo. Novelas",,
60255,"[Sáez Hnos.]","Las neuróticas. Novela",,
60256,"Juventud","La oración de la tarde. Novela",,
60257,"Paez","El libro de Ruth. Ensayos en vivo",,
60258,"Edita","Nido de cigüeñas. Novela",,
60260,"""Matev""","La vida de siempre",,
60261,"Calpe","Disparates",,
60262,"F. Granada","Guitarra andaluza. Colección de cantares escogidos en su mayoría inéditos",,
60263,"Estab. Tip. de Zambrana Hnos.","Más coplas (percheleras, trinitarias, victorianas y capuchineras). Colección de cantares malagueños originales",,
60264,"Renacimiento","El sendero andante. Poemas",,
